,words
day,998
old,997
com,992
run,990
x,989
true,985
having,983
found,979
done,973
following,968
seen,967
looking,967
else,965
windows,965
end,964
power,964
available,951
call,951
god,947
high,942
yes,941
nothing,940
second,937
yet,932
quite,931
hard,925
others,923
maybe,919
less,918
program,914
line,911
isn,906
keep,905
trying,900
name,900
reason,899
wrong,899
government,897
place,896
always,895
ever,894
mean,890
above,888
several,885
getting,884
thought,884
order,876
doing,873
once,870
bad,856
state,855
heard,853
non,852
next,849
example,849
group,847
support,846
drive,846
given,843
problems,841
idea,836
life,829
kind,819
based,818
three,808
person,808
won,807
away,807
times,802
start,800
until,800
big,796
software,793
interested,793
seem,792
means,785
ago,781
data,779
free,770
makes,770
whether,769
remember,768
already,767
email,764
computer,760
send,757
hope,755
perhaps,751
general,749
pretty,749
list,745
during,741
change,735
small,734
file,731
says,731
note,729
ask,724
left,722
game,722
works,719
whole,716
full,715
b,709
stuff,704
large,700
public,698
man,692
version,690
control,688
o,685
original,685
cannot,683
running,682
subject,680
local,680
article,674
came,673
comes,672
card,668
book,667
law,667
hand,658
show,656
today,655
days,655
feel,654
word,645
hi,643
instead,641
matter,639
saying,638
guess,637
price,636
space,634
agree,634
simply,632
mind,631
answer,631
buy,630
understand,629
making,628
source,628
anyway,627
tried,625
almost,618
questions,618
including,618
car,616
certainly,614
p,614
home,613
often,612
news,610
type,609
although,609
later,606
current,605
money,601
issue,601
u,598
important,597
working,595
told,594
pc,594
advance,593
unless,592
similar,587
net,584
wouldn,583
standard,583
info,582
side,581
nice,580
especially,579
cause,579
everything,576
anybody,575
everyone,575
sort,573
key,566
g,565
couple,565
address,565
area,565
fine,562
known,561
university,559
within,558
except,556
w,553
live,552
phone,551
speed,550
her,549
low,546
machine,546
open,543
team,543
check,537
interesting,536
message,535
evidence,535
usually,535
sorry,534
human,533
she,533
simple,531
goes,529
systems,529
difference,525
consider,525
rest,521
claim,521
clear,521
ok,520
r,520
haven,519
exactly,519
due,517
whatever,517
files,516
include,515
major,515
likely,515
cost,514
john,514
play,513
code,513
certain,512
care,511
correct,509
themselves,507
american,507
went,503
started,502
access,499
experience,496
talk,496
posted,496
single,494
recently,493
itself,493
sense,493
games,493
children,492
easy,492
short,491
dos,490
national,490
reading,489
posting,489
common,489
box,488
thus,488
sale,487
appreciated,485
write,485
past,485
months,482
history,482
level,482
deal,481
copy,481
asked,479
oh,478
david,478
add,478
provide,477
memory,476
pay,472
talking,472
ones,471
gets,471
wanted,469
become,468
words,468
took,468
uses,468
disk,466
video,466
stop,464
chip,464
particular,464
via,462
mac,462
offer,461
needs,461
graphics,461
christian,460
hear,460
sell,458
soon,456
taken,455
form,455
personal,453
research,452
states,451
top,451
window,450
discussion,447
self,446
close,446
four,444
position,444
week,444
saw,442
taking,442
n,441
view,441
turn,440
size,438
country,438
contact,436
fast,436
among,436
aren,435
third,435
happen,435
early,434
along,434
night,433
head,433
h,433
per,433
sound,430
effect,430
myself,429
body,428
hardware,428
allow,427
various,427
win,426
response,426
written,425
death,425
light,425
assume,424
expect,421
sometimes,418
according,418
rights,417
force,417
knows,416
coming,416
looks,416
jesus,416
love,415
wasn,415
further,414
board,413
asking,413
front,413
reply,413
programs,412
ftp,411
house,411
upon,409
company,409
opinion,409
argument,407
statement,407
therefore,407
nor,406
currently,406
men,406
happened,405
longer,405
mentioned,405
situation,404
together,404
numbers,404
war,404
future,402
april,402
religion,401
behind,401
result,401
plus,401
move,400
special,400
l,399
friend,397
lines,396
color,396
series,395
white,395
near,394
hold,393
display,393
otherwise,393
bill,392
needed,392
worth,392
doubt,391
test,391
necessary,391
job,391
couldn,389
mine,388
sun,388
deleted,388
black,388
process,388
lost,387
dead,387
application,387
sounds,387
involved,386
wants,385
sent,385
bible,384
considered,384
text,383
half,382
willing,382
completely,381
leave,381
model,381
present,381
press,380
monitor,380
return,380
finally,380
yourself,378
v,376
ca,376
included,376
below,375
image,375
mr,374
parts,373
earth,373
specific,372
includes,372
guy,372
condition,372
exist,371
bought,371
screen,371
internet,371
complete,370
value,370
books,370
service,369
directly,369
story,369
user,368
outside,367
face,366
hell,366
main,366
built,364
cut,364
strong,363
driver,363
save,362
center,362
thank,362
thinking,361
city,360
gun,360
indeed,360
mode,359
unfortunately,359
interest,357
date,357
results,356
entire,355
ibm,355
fire,355
cases,355
takes,355
related,354
accept,354
christians,353
normal,353
business,353
hit,352
points,351
groups,351
science,350
j,350
weeks,349
period,349
chance,348
mark,346
total,346
comments,346
easily,345
none,345
required,344
follow,344
clearly,343
ideas,342
create,341
gives,341
serious,340
suggest,339
road,339
term,339
religious,339
error,339
higher,339
purpose,338
technology,338
reasons,336
sources,335
k,335
red,334
living,334
radio,334
office,334
church,333
action,333
obviously,332
changed,331
lots,331
gave,330
difficult,330
apple,330
truth,329
runs,328
knowledge,328
performance,327
himself,327
christ,326
looked,326
kill,326
ii,324
paul,324
fax,323
security,321
recent,321
reference,320
report,320
choice,319
private,319
design,318
wonder,318
ways,317
useful,317
extra,317
killed,317
figure,317
folks,317
anti,317
supposed,317
details,316
network,316
jews,315
claims,314
legal,314
wait,314
manual,314
site,313
build,313
reasonable,313
package,313
amount,313
f,312
explain,312
building,312
btw,312
society,311
places,311
terms,311
act,311
laws,310
rate,310
apparently,310
quality,309
members,309
wondering,308
happens,308
bring,308
received,307
individual,307
wish,307
faith,307
school,306
excellent,306
across,306
ms,306
women,306
decided,306
ground,305
basis,305
whose,305
season,304
neither,303
worked,303
mike,302
issues,301
generally,301
hello,301
nature,300
field,300
basic,300
israel,298
record,298
police,298
mention,296
newsgroup,296
drivers,296
bike,296
air,295
previous,295
military,295
limited,295
organization,295
release,295
ram,294
st,294
fbi,294
defense,294
appears,293
applications,293
appreciate,293
base,292
five,292
trouble,291
wrote,291
require,291
created,291
designed,291
unix,290
late,290
possibly,289
users,288
market,288
alone,287
study,287
political,287
shipping,287
development,286
players,286
paper,286
million,286
player,286
inside,286
final,285
young,285
opinions,285
giving,285
break,285
washington,284
faster,284
continue,283
shows,283
avoid,283
server,283
output,283
hours,283
technical,282
cs,282
average,282
suspect,282
format,282
knew,280
project,280
jewish,280
faq,279
writing,279
international,278
happy,278
addition,278
keys,278
lead,277
manager,277
month,277
greatly,276
watch,276
obvious,276
family,275
turned,275
appear,275
cover,275
cards,275
attempt,274
bus,274
tv,274
carry,273
united,273
internal,272
al,272
reports,271
class,271
allowed,271
command,271
cars,271
solution,271
suppose,270
lives,270
york,270
somewhere,270
earlier,270
forget,269
league,269
prove,269
cheap,269
clipper,269
plan,268
personally,268
lack,268
gone,266
policy,265
population,265
requires,265
voice,265
starting,265
miles,264
regarding,264
appropriate,263
fairly,263
clinton,263
basically,263
meaning,262
middle,262
land,262
room,262
stand,262
realize,261
learn,261
perfect,261
changes,260
function,260
installed,260
range,260
fall,260
ability,260
pass,259
department,259
direct,259
worse,259
peace,259
beyond,258
poor,258
held,258
gas,257
president,257
steve,256
seriously,256
supply,256
section,255
apply,255
provided,255
media,254
language,254
blue,254
somebody,254
specifically,254
mostly,253
stated,253
dr,253
attack,253
events,253
machines,252
comment,252
request,252
baseball,252
hockey,252
shot,252
port,252
minutes,251
guys,251
serial,251
pro,251
community,251
stay,251
published,250
federal,250
drives,250
product,250
lower,250
crime,250
stupid,249
imagine,249
fit,249
effective,249
equipment,249
cd,248
device,248
intended,248
modem,248
particularly,248
respond,248
sold,248
concerned,247
recall,247
brought,247
scsi,246
guns,246
child,246
hp,246
suggestions,246
hands,246
pick,246
share,246
america,246
understanding,245
encryption,245
weapons,245
actions,245
step,245
expensive,245
court,245
prevent,245
trade,244
choose,244
nasa,244
engine,244
christianity,243
friends,243
straight,243
y,243
calls,243
die,242
street,242
canada,242
east,242
regular,242
putting,241
usa,241
actual,241
de,241
areas,240
water,240
exists,240
added,240
practice,239
considering,239
playing,239
dave,239
speak,239
absolutely,239
charge,238
letter,238
aware,238
notice,238
hey,237
commercial,237
method,237
luck,236
page,236
assuming,236
double,236
blood,235
fully,235
yeah,234
products,234
caused,234
shown,234
citizens,234
approach,234
rule,234
articles,234
digital,233
library,233
modern,233
proof,233
official,233
types,232
costs,232
answers,232
advice,232
seeing,232
paid,232
california,231
kept,231
besides,231
rules,231
controller,230
ready,230
decide,230
companies,230
existence,230
context,230
directory,229
described,229
member,229
wide,229
tape,229
author,228
responsible,228
receive,228
majority,228
allows,228
medical,228
handle,227
goal,227
jim,227
interface,226
hate,226
effort,226
safety,226
input,226
mass,225
calling,225
switch,225
played,225
chips,224
regards,224
necessarily,224
logic,224
ie,224
developed,223
uk,223
west,223
meant,223
spend,222
beginning,222
account,222
belief,222
buying,222
names,222
independent,221
north,221
slow,221
heart,221
party,221
co,221
quick,221
alt,221
picture,221
prefer,220
theory,220
hot,220
shall,220
station,220
search,219
event,219
begin,219
led,219
totally,219
easier,219
six,218
option,218
age,218
false,218
bunch,218
san,218
definition,218
vs,218
reported,217
michael,217
shouldn,217
teams,217
selling,217
material,217
os,217
wife,216
noticed,216
freedom,216
ed,216
helps,216
increase,216
facts,216
respect,215
accepted,215
entirely,215
quote,215
illegal,215
bob,214
magazine,214
title,214
contains,214
produce,214
latest,213
despite,213
ac,213
impossible,213
trust,213
additional,213
mouse,213
western,213
fan,213
significant,212
features,212
killing,212
expected,212
former,212
environment,212
algorithm,212
gov,211
quickly,211
towards,211
posts,210
moral,210
setting,209
cable,209
references,209
arguments,209
james,209
civil,209
attention,208
external,208
proper,208
mother,208
compared,208
scientific,208
secret,208
highly,207
properly,207
merely,207
volume,207
piece,207
unit,207
nobody,206
inc,206
drug,206
print,206
admit,206
thousands,205
cross,205
values,205
images,205
description,205
countries,205
food,205
effects,205
door,204
natural,204
multiple,204
greater,204
floppy,204
operation,204
welcome,204
died,204
draw,203
eventually,203
normally,203
became,202
prices,202
nearly,202
